Name,Team,Year,Date,Opp,Role,Dec,ERA,WHIP,IP,NP,R,ER,H,HR,SO,BB,HB,GS,Venue,Stadium,Time,Temp
김민수,KT,2025,2025-06-11,vs. Lotte,RP,L,0.0,,0,6,2,2,1,0,0,1,0,,Home,수원 KT 위즈파크,18:30,23.4
김민수,KT,2025,2025-06-08,vs. SSG,RP,,0.0,2.0,1,15,0,0,1,0,0,1,0,,Home,수원 KT 위즈파크,17:00,28.1
김민수,KT,2025,2025-06-06,vs. SSG,RP,,0.0,2.0,1,21,0,0,1,0,2,1,0,,Home,수원 KT 위즈파크,18:30,24.9
김민수,KT,2025,2025-06-04,@ Hanwha,RP,,0.0,1.0,1,12,0,0,1,0,1,0,0,,Away,대전 한화생명 볼파크,18:30,22.1
김민수,KT,2025,2025-06-01,vs. Kia,RP,,0.0,0.5,2,25,0,0,0,0,1,1,0,,Home,수원 KT 위즈파크,17:00,24.4
김민수,KT,2025,2025-05-30,vs. Kia,RP,H,9.0,1.0,1,13,1,1,1,1,1,0,0,,Home,수원 KT 위즈파크,18:30,24.2
김민수,KT,2025,2025-05-24,@ Kiwoom,RP,,0.0,2.0,1,17,0,0,2,0,0,0,0,,Away,고척 스카이돔,17:00,25.5
김민수,KT,2025,2025-05-23,@ Kiwoom,RP,,9.0,2.0,1,15,1,1,2,0,0,0,0,,Away,고척 스카이돔,18:30,25.5
김민수,KT,2025,2025-05-20,vs. Kia,RP,H,0.0,0.0,1,8,0,0,0,0,0,0,0,,Home,수원 KT 위즈파크,18:30,25.6
김민수,KT,2025,2025-05-17,@ LG,RP,,13.5,2.25,1 ⅓,30,2,2,2,0,3,1,0,,Away,잠실 야구장,17:00,18.9
김민수,KT,2025,2025-05-13,@ Samsung,RP,,0.0,1.0,1,15,0,0,1,0,0,0,0,,Away,대구 삼성 라이온즈 파크,18:30,19.5
김민수,KT,2025,2025-05-11,vs. Lotte,RP,,9.0,3.0,1,25,1,1,1,0,0,2,0,,Home,수원 KT 위즈파크,14:00,19.4
김민수,KT,2025,2025-05-10,vs. Lotte,RP,,0.0,0.75,1 ⅓,20,0,0,1,0,1,0,0,,Home,수원 KT 위즈파크,17:00,11.8
김민수,KT,2025,2025-05-06,vs. NC,RP,,9.0,2.0,1,15,1,1,1,1,0,1,0,,Home,수원 KT 위즈파크,18:30,16.1
김민수,KT,2025,2025-05-05,vs. NC,RP,,0.0,,0,4,1,1,1,0,0,0,0,,Home,수원 KT 위즈파크,14:00,15.5
김민수,KT,2025,2025-05-04,vs. Kiwoom,RP,W,0.0,1.0,1,10,0,0,1,0,0,0,0,,Home,수원 KT 위즈파크,14:00,19.3
김민수,KT,2025,2025-05-02,vs. Kiwoom,RP,,0.0,0.0,1,12,0,0,0,0,1,0,0,,Home,수원 KT 위즈파크,18:30,14.5
김민수,KT,2025,2025-04-30,@ Doosan,RP,,0.0,0.0,1,13,0,0,0,0,2,0,0,,Away,잠실 야구장,18:30,24.1
김민수,KT,2025,2025-04-27,@ Hanwha,RP,,18.0,3.0,1,22,2,2,3,0,0,0,0,,Away,대전 한화생명 볼파크,14:00,24.3
김민수,KT,2025,2025-04-26,@ Hanwha,RP,,0.0,0.0,1,8,0,0,0,0,0,0,0,,Away,대전 한화생명 볼파크,17:00,20.4
김민수,KT,2025,2025-04-22,vs. SSG,RP,H,0.0,1.0,1,13,0,0,1,0,1,0,0,,Home,수원 KT 위즈파크,18:30,18.1
김민수,KT,2025,2025-04-18,@ Kiwoom,RP,,0.0,2.0,1,13,0,0,2,0,0,0,0,,Away,고척 스카이돔,18:30,25.5
김민수,KT,2025,2025-04-16,@ Kia,RP,H,0.0,0.0,1 ⅓,15,0,0,0,0,0,0,0,,Away,광주 기아 챔피언스 필드,18:30,21.7
김민수,KT,2025,2025-04-13,vs. Samsung,RP,H,27.0,6.0,0 ⅓,13,1,1,2,0,0,0,0,,Home,수원 KT 위즈파크,14:00,3.6
